UF;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
ACRE;1213260;1161993;1215464;1263904;1296947;1185367;526606;539046;656154;661931;657742;724138;792845;847529;916609;1110669;1043416;992289;831745;805806;826684;1798113;1363921;1164762;931829;779232;616130;590103;570221;634506;633447
ALAGOAS;1199908;1185589;1216235;1077761;1056541;1051283;1007567;887921;827597;743796;631141;611962;473053;348697;103924;92020;78213;84483;75371;83593;76198;73348;64977;56176;46509;47337;25234;34595;20352;19159;20118
AMAPA;661472;661840;596764;627137;635754;648188;119824;107401;133489;152904;150800;128841;142349;142312;178498;199210;267934;278972;418297;441147;501526;694857;852353;1024254;1010132;1132809;1282532;1387792;1477314;1555000;1529154
AMAZONAS;37915595;180852;162011;722670;620173;666513;2321996;2596657;2765728;2801035;2809390;3088319;3339395;3377127;3319005;3405662;3499567;3708814;3831431;3595276;2051255;1940560;1710950;1644554;1592337;1556858;1728464;1527177;1454587;1438232;1437994
BAHIA;24593848;23618553;23601372;22133351;21035853;20466708;19788234;19039242;17945381;16850459;15032919;14632368;14533555;14119322;13664144;13141661;12872622;11540084;10950113;11203058;10316492;10239170;7885066;6199812;5726390;5593412;5364428;2726965;2412746;2025838;1866777
CEARA;13669699;13447002;13488217;12948598;11187284;11218356;5129400;4554122;4707414;4591000;4430968;4391327;4405704;4458478;4621398;4588312;4638424;4644674;4599088;4572884;4564144;4846922;3890254;3597920;3526905;3287790;3408854;3144905;2985169;3131951;3119790
DISTRITO FEDERAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7820;7475;6586;7950
ESPIRITO SANTO;239630;138343;68430;83563;83013;70585;187416;145259;132279;94665;87626;76896;59797;42898;34654;33320;28912;20870;13010;7009;8702;14480;17800;19816;21157;20488;22111;18379;18306;28792;7258
GOIAS;3805598;3406631;3025875;2632644;2404588;2173206;1402830;1280182;1197959;1172465;995339;939764;863837;814307;787267;816364;780456;716121;727395;699612;606505;537000;522755;528320;497634;484506;505571;338269;283214;265797;256230
MARANHAO;7741783;7370835;7889677;7876819;7699738;7246808;3720297;3189479;3243009;3176334;3130777;3257758;3220524;3117956;3305065;3269429;3476544;3445838;3043480;2984668;2978410;2909867;2970529;2782362;2663213;2468625;2205656;2007237;1788700;1720126;1684479
MATO GROSSO;6504731;6807276;6027610;5978339;7468776;7452978;6913503;5410307;4629970;4694945;4618786;4694369;4876195;4547552;4341880;3568412;3918673;4008781;3346232;5873921;4246583;4237554;6219097;3593155;3057672;4842867;5045750;5312625;5204502;5087023;5280642
MATO GROSSO DO SUL;1399963;1376725;1031349;1490627;1241540;650305;632467;342917;372452;759895;643234;639403;722216;606755;564894;405120;412777;156980;146159;163673;168233;197482;271245;287027;345810;238045;146910;113970;180056;32026;53757
