GEOCODIGO;Nome_Município;;;;
5200050;Abadia de Goiás;;;;
3100104;Abadia dos Dourados;;;;
5200100;Abadiânia;;;;
3100203;Abaeté;;;;
1500107;Abaetetuba;;;;
2300101;Abaiara;;;;
2900108;Abaíra;;;;
2900207;Abaré;;;;
4100103;Abatiá;;;;
4200051;Abdon Batista;;;;
1500131;Abel Figueiredo;;;;
4200101;Abelardo Luz;;;;
3100302;Abre Campo;;;;
2600054;Abreu e Lima;;;;
1700251;Abreulândia;;;;
3100401;Acaiaca;;;;
2100055;Açailândia;;;;
2900306;Acajutiba;;;;
1500206;Acará;;;;
2300150;Acarape;;;;
2300200;Acaraú;;;;
2400109;Acari;;;;
2200053;Acauã;;;;
4300034;Aceguá;;;;
2300309;Acopiara;;;;
5100102;Acorizal;;;;
1200013;Acrelândia;;;;
5200134;Acreúna;;;;
2400208;Açu;;;;
3100500;Açucena;;;;
3500105;Adamantina;;;;
5200159;Adelândia;;;;
3500204;Adolfo;;;;
4100202;Adrianópolis;;;;
2900355;Adustina;;;;
2600104;Afogados da Ingazeira;;;;
2400307;Afonso Bezerra;;;;
3200102;Afonso Cláudio;;;;
2100105;Afonso Cunha;;;;
2600203;Afrânio;;;;
1500305;Afuá;;;;
2600302;Agrestina;;;;
2200103;Agricolândia;;;;
4200200;Agrolândia;;;;
4200309;Agronômica;;;;
1500347;Água Azul do Norte;;;;
3100609;Água Boa;;;;
5100201;Água Boa;;;;
2200202;Água Branca;;;;
2500106;Água Branca;;;;
2700102;Água Branca;;;;
5000203;Água Clara;;;;
3100708;Água Comprida;;;;
4200408;Água Doce;;;;
2100154;Água Doce do Maranhão;;;;
3200169;Água Doce do Norte;;;;
2900405;Água Fria;;;;
5200175;Água Fria de Goiás;;;;
5200209;Água Limpa;;;;
2400406;Água Nova;;;;
2600401;Água Preta;;;;
4300059;Água Santa;;;;
3500303;Aguaí;;;;
3100807;Aguanil;;;;
2600500;Águas Belas;;;;
3500402;Águas da Prata;;;;
4200507;Águas de Chapecó;;;;
3500501;Águas de Lindóia;;;;
3500550;Águas de Santa Bárbara;;;;
3500600;Águas de São Pedro;;;;
3100906;Águas Formosas;;;;
4200556;Águas Frias;;;;
5200258;Águas Lindas de Goiás;;;;
4200606;Águas Mornas;;;;
3101003;Águas Vermelhas;;;;
4300109;Agudo;;;;
3500709;Agudos;;;;
4100301;Agudos do Sul;;;;
3200136;Águia Branca;;;;
2500205;Aguiar;;;;
1700301;Aguiarnópolis;;;;
3101102;Aimorés;;;;
2900603;Aiquara;;;;
2300408;Aiuaba;;;;
3101201;Aiuruoca;;;;
4300208;Ajuricaba;;;;
3101300;Alagoa;;;;
2500304;Alagoa Grande;;;;
2500403;Alagoa Nova;;;;
2500502;Alagoinha;;;;
2600609;Alagoinha;;;;
2200251;Alagoinha do Piauí;;;;
2900702;Alagoinhas;;;;
3500758;Alambari;;;;
3101409;Albertina;;;;
2100204;Alcântara;;;;
2300507;Alcântaras;;;;
2500536;Alcantil;;;;
5000252;Alcinópolis;;;;
2900801;Alcobaça;;;;
