FID;NM_MUNICIP;GEOCODIGO;NM_ESTADO;NM_REGIAO
0;CAIUÁ;3509106;SÃO PAULO;SUDESTE
1;CASTILHO;3511003;SÃO PAULO;SUDESTE
2;DRACENA;3514403;SÃO PAULO;SUDESTE
3;ESTRELA DO NORTE;3515301;SÃO PAULO;SUDESTE
4;EUCLIDES DA CUNHA PAULISTA;3515350;SÃO PAULO;SUDESTE
5;MARABÁ PAULISTA;3528700;SÃO PAULO;SUDESTE
6;MIRANTE DO PARANAPANEMA;3530201;SÃO PAULO;SUDESTE
7;MONTE CASTELO;3531605;SÃO PAULO;SUDESTE
8;NARANDIBA;3532207;SÃO PAULO;SUDESTE
9;NOVA GUATAPORANGA;3533106;SÃO PAULO;SUDESTE
10;OURO VERDE;3534807;SÃO PAULO;SUDESTE
11;PANORAMA;3535408;SÃO PAULO;SUDESTE
12;PAULICÉIA;3536406;SÃO PAULO;SUDESTE
13;PIQUEROBI;3538303;SÃO PAULO;SUDESTE
14;PRESIDENTE BERNARDES;3541208;SÃO PAULO;SUDESTE
15;PRESIDENTE EPITÁCIO;3541307;SÃO PAULO;SUDESTE
16;PRESIDENTE VENCESLAU;3541505;SÃO PAULO;SUDESTE
17;RIBEIRÃO DOS ÍNDIOS;3543238;SÃO PAULO;SUDESTE
18;ROSANA;3544251;SÃO PAULO;SUDESTE
19;SANDOVALINA;3545506;SÃO PAULO;SUDESTE
20;SANTA MERCEDES;3547106;SÃO PAULO;SUDESTE
21;SANTO ANASTÁCIO;3547700;SÃO PAULO;SUDESTE
22;SÃO JOÃO DO PAU D'ALHO;3549300;SÃO PAULO;SUDESTE
23;TARABAI;3553906;SÃO PAULO;SUDESTE
24;TEODORO SAMPAIO;3554300;SÃO PAULO;SUDESTE
25;TUPI PAULISTA;3555109;SÃO PAULO;SUDESTE
26;ABELARDO LUZ;4200101;SANTA CATARINA;SUL
27;ÁGUAS DE CHAPECÓ;4200507;SANTA CATARINA;SUL
28;ÁGUAS FRIAS;4200556;SANTA CATARINA;SUL
29;ALTO BELA VISTA;4200754;SANTA CATARINA;SUL
30;ANCHIETA;4200804;SANTA CATARINA;SUL
31;ARABUTÃ;4201273;SANTA CATARINA;SUL
32;ARVOREDO;4201653;SANTA CATARINA;SUL
33;BANDEIRANTE;4202081;SANTA CATARINA;SUL
34;BARRA BONITA;4202099;SANTA CATARINA;SUL
35;BELMONTE;4202156;SANTA CATARINA;SUL
36;BOM JESUS;4202537;SANTA CATARINA;SUL
37;BOM JESUS DO OESTE;4202578;SANTA CATARINA;SUL
38;CAIBI;4203105;SANTA CATARINA;SUL
39;CAMPO ERÊ;4203501;SANTA CATARINA;SUL
40;CAPINZAL;4203907;SANTA CATARINA;SUL
41;CATANDUVAS;4204004;SANTA CATARINA;SUL
42;CAXAMBU DO SUL;4204103;SANTA CATARINA;SUL
43;CHAPECÓ;4204202;SANTA CATARINA;SUL
44;CONCÓRDIA;4204301;SANTA CATARINA;SUL
45;CORDILHEIRA ALTA;4204350;SANTA CATARINA;SUL
46;CORONEL FREITAS;4204400;SANTA CATARINA;SUL
47;CORONEL MARTINS;4204459;SANTA CATARINA;SUL
48;CUNHA PORÃ;4204707;SANTA CATARINA;SUL
49;CUNHATAÍ;4204756;SANTA CATARINA;SUL
50;DESCANSO;4204905;SANTA CATARINA;SUL
51;DIONÍSIO CERQUEIRA;4205001;SANTA CATARINA;SUL
52;ENTRE RIOS;4205175;SANTA CATARINA;SUL
53;FAXINAL DOS GUEDES;4205308;SANTA CATARINA;SUL
54;FLOR DO SERTÃO;4205357;SANTA CATARINA;SUL
55;FORMOSA DO SUL;4205431;SANTA CATARINA;SUL
56;GALVÃO;4205605;SANTA CATARINA;SUL
57;GUARACIABA;4206405;SANTA CATARINA;SUL
58;GUARUJÁ DO SUL;4206603;SANTA CATARINA;SUL
59;GUATAMBÚ;4206652;SANTA CATARINA;SUL
60;IPIRA;4207601;SANTA CATARINA;SUL
61;IPORÃ DO OESTE;4207650;SANTA CATARINA;SUL
62;IPUAÇU;4207684;SANTA CATARINA;SUL
63;IPUMIRIM;4207700;SANTA CATARINA;SUL
64;IRACEMINHA;4207759;SANTA CATARINA;SUL
65;IRANI;4207809;SANTA CATARINA;SUL
66;IRATI;4207858;SANTA CATARINA;SUL
67;ITÁ;4208005;SANTA CATARINA;SUL
68;ITAPIRANGA;4208401;SANTA CATARINA;SUL
69;JABORÁ;4208609;SANTA CATARINA;SUL
70;JARDINÓPOLIS;4208955;SANTA CATARINA;SUL
71;JOAÇABA;4209003;SANTA CATARINA;SUL
72;JUPIÁ;4209177;SANTA CATARINA;SUL
73;LACERDÓPOLIS;4209201;SANTA CATARINA;SUL
74;LAJEADO GRANDE;4209458;SANTA CATARINA;SUL
75;LINDÓIA DO SUL;4209854;SANTA CATARINA;SUL
76;LUZERNA;4210035;SANTA CATARINA;SUL
77;MARAVILHA;4210506;SANTA CATARINA;SUL
78;MAREMA;4210555;SANTA CATARINA;SUL
79;MODELO;4210902;SANTA CATARINA;SUL
80;MONDAÍ;4211009;SANTA CATARINA;SUL
81;NOVA ERECHIM;4211405;SANTA CATARINA;SUL
82;NOVA ITABERABA;4211454;SANTA CATARINA;SUL
